user6,비가 오네,긱스,랩/힙합,2013,Backpack,"릴보이,루이,TK",,대한민국,한국어,4:16
user6,rain,태연,발라드,2016,Rain,Matthew Tishier,,대한민국,한국어,3:49
user6,오늘은 헤어지는 날,거미,알앤비/어반,2005,For The Bloom,김선민,,대한민국,한국어,4:25
user6,비오는 거리,베이빌론,알앤비/어반,2016,BETWEEN US,"Groovy Room,베이빌론,핫펠트",,대한민국,한국어,3:25
user6,딱 좋은 온도,프리티 브라운,랩/힙합,2016,딱 좋은 온도,김건우,,대한민국,한국어,
user6,만화처럼,"매드클라운,브라더수",랩/힙합,2016,만화처럼,"매드클라운,브라더수",,대한민국,한국어,
user6,감동이 중요해,주니엘,랩/힙합,2013,DOKKUN Project Part 3,김도훈,,대한민국,한국어,
user6,crush on you,크러쉬,랩/힙합,2013,Crush On You,,,대한민국,한국어,
user6,장미꽃,개코,랩/힙합,2014,Redingray,개코,,대한민국,한국어,
user7,우주를 줄게,볼빨간 사춘기,인디,2016,RED PLANET,"안지영,바닐라 어쿠스틱",,대한민국,,
user7,UFO 타고 왔니?,"헤이즈, 고영배",드라마음악,2016,질투의 화신 OST Part 1,"남혜승박진호","남혜승, 박진호",대한민국,한국어,3:47
user7,토요일 밤이 좋아,로맨틱 펀치,락,2010,1집 Midnight Cinderella,배인혁,배인혁,대한민국,한국어,4:03
user7,For Him.,Troye Sivan,팝,2016,Blue Neighbourhood (Deluxe Edition),,,오스트레일리아,한국어,3:29
user7,In My Place,Coldplay,팝,2002,In My Place,Chris Martin,,영국,한국어,3:49
user7,Cake by the ocean,DNCE,팝,2015,SWAAY,"매트맨 & 로빈, 조 조너스, 저스틴 트랜터",매트맨 & 로빈,미국,한국어,3:38
user7,Flight,한올,포크,2016,Flight,한올,,대한민국,한국어,4:13
user7,Skit,기리보이(Feat. Swings)   ,랩/힙합,2013,Skit,"기리보이,한요한",기리보이,대한민국,한국어,4:50
user7,Russian Roulette,레드벨벳,댄스,2016,Russian Roulette - The 3rd Mini Album,,"Albi Albertsson Belle Humble Markus Lindell",대한민국,한국어,3:31
user7,가장 아름다운 노래,장기하와 얼굴들,락,2016,내 사랑에 노련한 사람이 어딨나요,장기하,,대한민국,한국어,4:08
user7,우주를 줄게,볼빨간 사춘기,인디뮤직,2016,Full Album RED PLANET,"안지영 바닐라맨 (바닐라어쿠스틱)",,대한민국,한국어,3:33
user8,우산,에픽하이,힙합,2008,"Pieces, Part One",에픽하이,"에픽하이, 플래닛 쉬버",대한민국,한국어,5:01
user8,어땠을까,"싸이, 박정현",댄스,2012,싸이6甲 Part 1,싸이 유건형,,대한민국,한국어,4:04
user8,봄이 좋냐??,10cm,Fork,2016,3.2,10cm,,대한민국,한국어,3:25
user8,내가 저지른 사랑,임창정,발라드,2016,I'M,,,대한민국,한국어,4:01
user8,미인,이기찬,발라드,2007,Para Ti Repackage Album,조영수,안영민,대한민국,한국어,3:38
user8,죽을만큼 아파서,MC몽,힙합,2010,블루브랜드 Trauma Part 2,김건우,김건우,대한민국,한국어,4:06
user8,SunShine Love,아미,댄스,2008,Sunshine Love,이정규,이정규,대한민국 ,한국어,3:31
user8,요리왕,슈퍼주니어 해피,Dance,2008,요리왕 (Cooking? Cooking!) The First Mini Album ,ROZ,ROZ,대한민국,한국어,3:43
user8,초콜릿,"케이윌,마리오",댄스,2009,Color Chocolate,"김도훈,이현승","김도훈,이현승",대한민국,한국어,3:13
user8,보고싶은날엔,V.O.S,발라드,2010,This is Voice Of Soul,한상원,한상원,대한민국,한국어,
user9,Death Of A Bachelor,Panic! At The Disco,Rock,2016,Death Of A Bachelor,,,미국,영어,3:23
user9,Wherever I Go,OneRepublic,Rock,2016,Future Looks Good,,,미국,영어,2:50
user9,휘파람,BLACKPINK,Rap/Hip-hop,2016,SQUARE ONE,TEDDY,,대한민국,"한국어, 영어",3:31
user9,바람에 날려,여자친구,Dance,2016,여자친구 The 1st Album `LOL`,e.one,,대한민국,한국어,3:50
user9,Fantasy,빅스,Dance,2016,Hades,Devine Channel,,대한민국,"한국어, 영어",3:28
user9,IF YOU,BIGBANG,Folk,2015,D,"G-DRAGON, P.K, DEE.P",,대한민국,"한국어, 영어",4:24
user9,아주 NICE,세븐틴,Dance,2016,Love&Letter Repackage Album,"WOOZI, BUMZU ",,대한민국,"한국어, 영어",3:12
user9,소멸탈출,넬,Rock,2014,Newton's Apple,김종완,,대한민국,"한국어, 영어",4:17
user9,안경,아이유,Ballad,2015,CHAT-SHIRE,아이유,,대한민국,한국어,3:16
user9,Lost Stars,Adam Levine,Foreign Movie,2014,비긴 어게인 OST,,,미국,영어,4:28
user9,Just Like Fire,Pink,Pop,2016,Just Like Fire,,,미국,영어,3:35
user9,Hymn For The Weekend,Coldplay,Rock,2015,A Head Full Of Dreams,,,영국,영어,4:18
user10,내가 저지른 사랑,임창정,발라드,2016,I'M,"임창정, 박성수",임창정,대한민국,한국어,3:58
user10,선,유승우,"알앤비, 어반",2016,Pit a pat,브라더수,"브라더수, 유웅렬",대한민국,한국어,3:32
user10,괜찮아 떠나,스윗소로우,댄스,2013,4th #1 괜찮아 떠나,김영우,김영우,대한민국,한국어,3:42
user10,네 생각,존박,발라드,2016,네 생각,존 박,적재,대한민국,한국어,3:50
user10,All mine,f(x),일렉트로니카,2016,All mine,Greg Bonnick,LDN Noise,대한민국,한국어,3:23
user10,2 DIfferent Tears,원더걸스,댄스,2010,2 Different Tears,박진영,"박진영, 이우석",대한민국,한국어,3:24
user10,Get Lucky,Daft Punk,일렉트로니카,2013,Random Access Memories,Daft Punk,Daft Punk,프랑스,영어,6:09
user10,Happy,Pharrell Williams,힙합,2013,Happy,Pharrell Williams,Pharrell Williams,미국,영어,3:53
user10,You(=I),볼빨간 사춘기,인디뮤직,2016,Full Album RED PLANET,안지영,바닐라맨,대한민국,한국어,2:49
user10,심술,볼빨간사춘기,인디뮤직,2016,Half Album RED ICKLE,안지영,바닐라맨 어쿠스틱,대한민국,한국어,2:38
user11,밀리언조각,규현,발라드,2015,"다시, 가을이 오면 - The 2nd Mini Album",Kenzie,,대한민국,한국어,5:14
user11,광화문에서,규현,발라드,2014,광화문에서,Kenzie,,대한민국,한국어,4:43
user11,Heaven,에일리,발라드,2012,Heaven,휘성,,대한민국,한국어,3:31
user11,Sorry,주니엘,발라드,2015,Sorry,TL,,대한민국,한국어,3:41
user11,Everlasting Sunset,주니엘,발라드,2012,My first june,주니엘,,대한민국,한국어,4:46
